"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2010","6,017.70","6,030.30","6,284.10","5,937.10","2.91B","-0.20%"
"01-09-2010","6,029.95","5,403.05","6,073.50","5,403.05","3.61B","11.62%"
"01-08-2010","5,402.40","5,369.55","5,549.80","5,348.90","3.21B","0.65%"
"01-07-2010","5,367.60","5,312.05","5,477.50","5,225.60","3.34B","1.04%"
"01-06-2010","5,312.50","5,086.25","5,366.75","4,961.05","4.04B","4.45%"
"01-05-2010","5,086.30","5,278.40","5,278.70","4,786.45","3.92B","-3.63%"
"01-04-2010","5,278.00","5,249.20","5,399.65","5,160.90","3.15B","0.55%"
"01-03-2010","5,249.10","4,935.60","5,329.55","4,935.35","3.42B","6.64%"
"01-02-2010","4,922.30","4,882.05","4,992.00","4,675.40","3.56B","0.82%"
"01-01-2010","4,882.05","5,200.90","5,310.85","4,766.00","3.88B","-6.13%"
"01-12-2009","5,201.05","5,039.70","5,221.85","4,943.95","4.39B","3.35%"
"01-11-2009","5,032.70","4,712.25","5,138.00","4,538.50","5.19B","6.81%"
"01-10-2009","4,711.70","5,087.20","5,181.95","4,687.50","4.89B","-7.32%"
"01-09-2009","5,083.95","4,662.20","5,087.60","4,576.60","4.68B","9.05%"
"01-08-2009","4,662.10","4,633.80","4,743.75","4,353.45","5.34B","0.55%"
"01-07-2009","4,636.45","4,292.30","4,669.75","3,918.75","7.01B","8.05%"
"01-06-2009","4,291.10","4,450.40","4,693.20","4,143.25","7.98B","-3.55%"
"01-05-2009","4,448.95","3,478.70","4,509.40","3,478.70","7.14B","28.07%"
"01-04-2009","3,473.95","3,023.85","3,517.25","2,965.70","6.43B","15.00%"
"01-03-2009","3,020.95","2,764.60","3,123.35","2,539.45","5.34B","9.31%"
"01-02-2009","2,763.65","2,872.35","2,969.75","2,677.55","3.95B","-3.87%"
"01-01-2009","2,874.80","2,963.30","3,147.20","2,661.65","6.11B","-2.85%"
"01-12-2008","2,959.15","2,755.15","3,110.45","2,570.70","6.35B","7.41%"
"01-11-2008","2,755.10","2,885.40","3,240.55","2,502.90","4.55B","-4.52%"
"01-10-2008","2,885.60","3,921.85","4,000.50","2,252.75","4.87B","-26.41%"
"01-09-2008","3,921.20","4,356.10","4,558.00","3,715.05","3.09B","-10.06%"
"01-08-2008","4,360.00","4,331.60","4,649.85","4,201.85","2.36B","0.62%"
"01-07-2008","4,332.95","4,039.75","4,539.45","3,790.20","3.62B","7.24%"
"01-06-2008","4,040.55","4,869.25","4,908.80","4,021.70","3.04B","-17.03%"
"01-05-2008","4,870.10","5,265.30","5,298.85","4,801.90","2.88B","-5.73%"
"01-04-2008","5,165.90","4,735.65","5,230.75","4,628.75","2.68B","9.11%"
"01-03-2008","4,734.50","5,222.80","5,222.80","4,468.55","2.64B","-9.36%"
"01-02-2008","5,223.50","5,140.60","5,545.20","4,803.60","2.12B","1.67%"
"01-01-2008","5,137.45","6,136.75","6,357.10","4,448.50","3.14B","-16.31%"
"01-12-2007","6,138.60","5,765.45","6,185.40","5,676.70","2.06B","6.52%"
"01-11-2007","5,762.75","5,903.80","6,011.95","5,394.35","3.53B","-2.34%"
"01-10-2007","5,900.65","5,021.50","5,976.00","5,000.95","3.50B","17.51%"
"01-09-2007","5,021.35","4,466.65","5,055.80","4,445.55","1.88B","12.49%"
"01-08-2007","4,464.00","4,528.85","4,532.90","4,002.20","1.73B","-1.43%"
"01-07-2007","4,528.85","4,318.40","4,647.95","4,304.00","1.92B","4.88%"
"01-06-2007","4,318.30","4,296.05","4,362.95","4,100.80","1.58B","0.52%"
"01-05-2007","4,295.80","4,089.45","4,306.75","3,981.15","1.72B","5.09%"
"01-04-2007","4,087.90","3,820.00","4,217.90","3,617.00","1.64B","6.97%"
"01-03-2007","3,821.55","3,745.40","3,901.75","3,554.50","1.79B","2.04%"
"01-02-2007","3,745.30","4,083.40","4,245.30","3,674.85","1.55B","-8.26%"
"01-01-2007","4,082.70","3,966.25","4,167.15","3,833.60","1.52B","2.93%"
"01-12-2006","3,966.40","3,955.70","4,046.85","3,657.65","1.35B","0.30%"
"01-11-2006","3,954.50","3,744.10","3,976.80","3,737.00","1.52B","5.62%"
"01-10-2006","3,744.10","3,588.95","3,782.85","3,508.65","1.41B","4.34%"
"01-09-2006","3,588.40","3,414.00","3,603.70","3,328.45","1.40B","5.11%"
"01-08-2006","3,413.90","3,128.20","3,452.30","3,113.60","1.37B","8.61%"
"01-07-2006","3,143.20","3,128.75","3,208.85","2,878.25","1.59B","0.48%"
"01-06-2006","3,128.20","3,072.55","3,134.15","2,595.65","2.15B","1.86%"
"01-05-2006","3,071.05","3,557.55","3,774.15","2,896.40","2.39B","-13.68%"
"01-04-2006","3,557.60","3,403.15","3,598.95","3,290.35","1.83B","4.56%"
"01-03-2006","3,402.55","3,074.60","3,433.85","3,064.00","2.09B","10.66%"
"01-02-2006","3,074.70","3,001.30","3,090.30","2,928.10","1.44B","2.45%"
"01-01-2006","3,001.10","2,836.80","3,005.10","2,783.85","1.58B","5.80%"
"01-12-2005","2,836.55","2,651.60","2,857.00","2,641.95","1.71B","6.95%"
"01-11-2005","2,652.25","2,366.80","2,727.05","2,366.80","1.41B","11.86%"
"01-10-2005","2,370.95","2,601.00","2,669.20","2,307.45","1.74B","-8.86%"
"01-09-2005","2,601.40","2,384.70","2,633.90","2,382.90","1.48B","9.09%"
"01-08-2005","2,384.65","2,312.05","2,426.65","2,294.25","1.56B","3.13%"
"01-07-2005","2,312.30","2,220.45","2,332.55","2,171.25","1.29B","4.13%"
"01-06-2005","2,220.60","2,087.80","2,226.15","2,061.35","1.32B","6.37%"
"01-05-2005","2,087.55","1,903.10","2,099.35","1,898.15","1.15B","9.73%"
"01-04-2005","1,902.50","2,035.90","2,084.90","1,896.30","1.14B","-6.54%"
"01-03-2005","2,035.65","2,103.10","2,183.45","1,971.15","1.61B","-3.21%"
"01-02-2005","2,103.25","2,057.75","2,110.15","2,036.60","1.48B","2.22%"
"01-01-2005","2,057.60","2,080.00","2,120.15","1,894.40","1.73B","-1.10%"
"01-12-2004","2,080.50","1,960.75","2,088.45","1,944.50","1.95B","6.21%"
"01-11-2004","1,958.80","1,787.30","1,963.80","1,776.70","1.55B","9.62%"
"01-10-2004","1,786.90","1,744.40","1,829.45","1,737.85","1.73B","2.37%"
"01-09-2004","1,745.50","1,631.70","1,760.80","1,619.90","2.27B","6.97%"
"01-08-2004","1,631.75","1,631.55","1,658.90","1,573.70","2.43B","-0.03%"
"01-07-2004","1,632.30","1,506.65","1,638.70","1,472.55","2.93B","8.42%"
"01-06-2004","1,505.60","1,483.90","1,566.50","1,437.90","2.28B","1.48%"
"01-05-2004","1,483.60","1,796.10","1,837.95","1,292.20","2.39B","-17.40%"
"01-04-2004","1,796.10","1,771.45","1,912.35","1,771.45","2.04B","1.37%"
"01-03-2004","1,771.90","1,798.35","1,898.70","1,669.70","2.44B","-1.58%"
"01-02-2004","1,800.30","1,809.30","1,935.80","1,755.65","2.34B","-0.52%"
"01-01-2004","1,809.75","1,880.35","2,014.65","1,756.25","2.72B","-3.72%"
"01-12-2003","1,879.75","1,615.85","1,914.40","1,615.70","2.34B","16.38%"
"01-11-2003","1,615.25","1,556.50","1,630.25","1,509.15","2.31B","3.81%"
"01-10-2003","1,555.90","1,416.60","1,574.10","1,407.95","3.47B","9.79%"
"01-09-2003","1,417.10","1,356.70","1,430.70","1,285.25","3.22B","4.46%"
"01-08-2003","1,356.55","1,185.80","1,365.80","1,164.75","3.09B","14.39%"
"01-07-2003","1,185.85","1,133.95","1,198.50","1,089.30","1.77B","4.56%"
"01-06-2003","1,134.15","1,006.85","1,141.30","1,004.70","1.47B","12.65%"
"01-05-2003","1,006.80","930.90","1,013.85","930.80","1.28B","7.79%"
"01-04-2003","934.05","977.40","1,033.45","920.00","1.21B","-4.51%"
"01-03-2003","978.20","1,063.55","1,070.85","974.10","894.12M","-8.01%"
"01-02-2003","1,063.40","1,040.25","1,075.50","1,034.10","977.16M","2.07%"
"01-01-2003","1,041.85","1,093.60","1,105.60","1,026.20","1.27B","-4.72%"
"01-12-2002","1,093.50","1,050.15","1,103.95","1,034.10","1.34B","4.13%"
"01-11-2002","1,050.15","951.45","1,057.45","946.40","1.18B","10.38%"
"01-10-2002","951.40","961.15","983.60","920.10","1.04B","-1.22%"
"01-09-2002","963.15","1,010.90","1,024.65","960.20","858.72M","-4.70%"
"01-08-2002","1,010.60","959.20","1,012.75","935.55","945.39M","5.39%"
"01-07-2002","958.90","1,058.00","1,087.40","943.60","988.64M","-9.35%"
"01-06-2002","1,057.80","1,029.25","1,102.05","1,029.25","830.00M","2.82%"
"01-05-2002","1,028.80","1,084.80","1,136.55","1,020.10","1.01B","-5.14%"
"01-04-2002","1,084.50","1,129.85","1,153.30","1,073.30","874.09M","-3.99%"
"01-03-2002","1,129.55","1,142.05","1,201.10","1,117.85","929.78M","-1.09%"
"01-02-2002","1,142.05","1,076.95","1,205.95","1,069.40","1.29B","6.20%"
"01-01-2002","1,075.40","1,058.85","1,121.75","1,052.05","1.42B","1.54%"
"01-12-2001","1,059.05","1,067.20","1,132.65","1,010.45","1.06B","-0.76%"
"01-11-2001","1,067.15","973.55","1,097.60","973.55","1.08B","9.80%"
"01-10-2001","971.90","914.65","1,000.95","884.65","982.27M","6.35%"
"01-09-2001","913.85","1,054.65","1,059.90","849.95","946.78M","-13.28%"
"01-08-2001","1,053.75","1,073.00","1,084.00","1,051.75","755.98M","-1.78%"
"01-07-2001","1,072.85","1,108.35","1,127.15","1,046.90","576.87M","-3.16%"
"01-06-2001","1,107.90","1,168.10","1,175.80","1,060.05","843.59M","-5.14%"
"01-05-2001","1,167.90","1,125.45","1,207.00","1,096.25","986.61M","3.79%"
"01-04-2001","1,125.25","1,148.10","1,171.85","1,000.10","853.34M","-2.00%"
"01-03-2001","1,148.20","1,351.75","1,399.55","1,098.75","1.18B","-15.04%"
"01-02-2001","1,351.40","1,371.50","1,422.95","1,281.90","2.11B","-1.48%"
"01-01-2001","1,371.70","1,263.50","1,396.05","1,248.55","1.99B","8.56%"
"01-12-2000","1,263.55","1,268.10","1,369.50","1,207.95","1.59B","-0.36%"
"01-11-2000","1,268.15","1,178.25","1,281.00","1,177.10","1.45B","8.13%"
"01-10-2000","1,172.75","1,270.75","1,306.45","1,108.20","1.04B","-7.78%"
"01-09-2000","1,271.65","1,395.95","1,482.00","1,249.35","980.56M","-8.78%"
"01-08-2000","1,394.10","1,332.85","1,398.90","1,295.45","942.05M","4.60%"
"01-07-2000","1,332.85","1,473.45","1,564.75","1,269.25","894.30M","-9.42%"
"01-06-2000","1,471.45","1,380.40","1,539.10","1,345.10","826.11M","6.59%"
"01-05-2000","1,380.45","1,410.00","1,436.60","1,201.50","642.45M","-1.86%"
"01-04-2000","1,406.55","1,528.70","1,636.95","1,311.30","751.69M","-7.98%"
"01-03-2000","1,528.45","1,661.50","1,773.85","1,489.10","655.71M","-7.64%"
"01-02-2000","1,654.80","1,546.20","1,818.15","1,521.40","690.44M","7.02%"
"01-01-2000","1,546.20","1,482.15","1,671.15","1,482.15","850.41M","4.44%"
"01-12-1999","1,480.45","1,375.05","1,510.85","1,374.70","676.31M","7.58%"
"01-11-1999","1,376.15","1,325.90","1,418.15","1,239.80","690.99M","3.83%"
"01-10-1999","1,325.45","1,414.65","1,522.85","1,296.70","1.01B","-6.20%"
"01-09-1999","1,413.10","1,412.05","1,432.55","1,329.70","863.21M","0.08%"
"01-08-1999","1,412.00","1,309.85","1,435.50","1,277.85","821.91M","7.77%"
"01-07-1999","1,310.15","1,187.85","1,367.95","1,179.30","1.10B","10.31%"
"01-06-1999","1,187.70","1,125.55","1,228.55","1,099.85","1.01B","4.89%"
"01-05-1999","1,132.30","979.80","1,201.30","968.25","1.05B","15.75%"
"01-04-1999","978.20","1,082.55","1,084.05","916.00","440.00M","-9.26%"
"01-03-1999","1,078.05","992.45","1,099.80","984.45","806.43M","9.86%"
"01-02-1999","981.30","962.40","989.15","907.45","702.17M","1.56%"
"01-01-1999","966.20","886.75","1,016.30","882.60","822.41M","9.27%"
"01-12-1998","884.25","816.55","903.85","812.25","677.71M","8.13%"
"01-11-1998","817.75","824.20","882.10","800.10","695.94M","-0.82%"
"01-10-1998","824.55","904.75","904.75","803.30","586.19M","-8.88%"
"01-09-1998","904.95","852.75","945.25","832.05","619.24M","6.12%"
"01-08-1998","852.80","930.80","930.80","830.15","503.87M","-8.44%"
"01-07-1998","931.40","941.60","1,015.55","895.85","579.36M","-1.09%"
"01-06-1998","941.65","1,064.10","1,100.00","853.05","738.68M","-11.43%"
"01-05-1998","1,063.15","1,159.80","1,196.70","1,037.95","585.52M","-8.30%"
"01-04-1998","1,159.35","1,117.15","1,247.15","1,117.15","782.42M","3.80%"
"01-03-1998","1,116.90","1,060.90","1,156.70","1,046.75","794.97M","5.29%"
"01-02-1998","1,060.75","963.45","1,064.15","949.65","558.23M","10.10%"
"01-01-1998","963.45","1,078.95","1,102.15","929.05","754.33M","-10.74%"
"01-12-1997","1,079.40","1,023.85","1,083.35","943.00","892.27M","5.42%"
"01-11-1997","1,023.95","1,085.75","1,097.05","971.20","827.18M","-5.65%"
"01-10-1997","1,085.25","1,123.45","1,192.00","1,028.20","857.96M","-3.43%"
"01-09-1997","1,123.80","1,105.45","1,168.35","1,079.60","834.92M","1.70%"
"01-08-1997","1,105.00","1,224.40","1,297.10","1,098.90","869.89M","-9.54%"
"01-07-1997","1,221.50","1,201.30","1,252.70","1,153.75","1.15B","2.44%"
"01-06-1997","1,192.40","1,053.05","1,194.75","1,051.05","1.09B","13.46%"
"01-05-1997","1,050.90","1,074.70","1,074.70","1,018.15","742.97M","-2.68%"
"01-04-1997","1,079.85","931.95","1,088.40","931.50","701.60M","11.52%"
"01-03-1997","968.30","1,070.80","1,167.95","966.80","914.10M","-3.04%"
"01-02-1997","998.65","967.90","1,024.30","944.20","899.50M","2.67%"
"01-01-1997","972.65","905.20","1,085.75","905.20","1.13B","8.18%"
"01-12-1996","899.10","830.48","922.10","775.43","","8.28%"
"01-11-1996","830.32","910.32","915.39","822.17","","-8.68%"
"01-10-1996","909.29","944.51","956.45","850.52","","-3.67%"
"01-09-1996","943.96","1,028.91","1,046.51","932.27","","-8.26%"
"01-08-1996","1,029.00","1,047.47","1,054.29","968.76","","-1.32%"
"01-07-1996","1,042.81","1,121.00","1,127.13","999.03","","-7.06%"
"01-06-1996","1,122.00","1,098.18","1,203.11","1,098.18","","2.94%"
"01-05-1996","1,089.92","1,141.65","1,141.65","1,046.95","","-2.19%"
"01-04-1996","1,114.36","988.33","1,160.16","988.33","","13.10%"
"01-03-1996","985.30","994.66","1,010.50","945.07","","-0.73%"
"01-02-1996","992.51","848.28","1,067.49","848.28","","16.98%"
"01-01-1996","848.42","913.11","913.11","813.12","","-6.62%"
"01-12-1995","908.53","867.99","927.60","854.47","","5.39%"